description,doc1_quantity,doc1_cost,unit,doc1_occurrences,doc2_quantity,doc2_cost,doc2_occurrences,quantity_difference,cost_difference,percentage_cost_difference,match_confidence,category,standardized_unit,is_temporary,is_labor,significant_difference
Scaffold - per section (per month),29.0,3928.22,MO,"{'total_quantity': 29.0, 'total_rcv': 3928.22, 'occurrences_detail': ['Line 1: Qty=29.0, RCV=$3928.22']}",24.0,3250.94,"{'total_quantity': 24.0, 'total_rcv': 3250.94, 'occurrences_detail': ['Line 424: Qty=24.0, RCV=$3250.94']}",5.0,677.2799999999997,17.24139686677426,100,SCAFFOLDING,months,False,False,True
Labor to set up and take down scaffold -,29.0,1327.63,EA,"{'total_quantity': 29.0, 'total_rcv': 1327.63, 'occurrences_detail': ['Line 2: Qty=29.0, RCV=$1327.63']}",,,,,,,0,SCAFFOLDING,each,False,True,False
Two ladders with jacks and plank (per,2.0,279.92,DA,"{'total_quantity': 2.0, 'total_rcv': 279.92, 'occurrences_detail': ['Line 3: Qty=2.0, RCV=$279.92']}",2.0,279.92,"{'total_quantity': 2.0, 'total_rcv': 279.92, 'occurrences_detail': ['Line 426: Qty=2.0, RCV=$279.92']}",0.0,0.0,0.0,100,STAIRS,days,False,False,False
R&R House wrap (air/moisture barrier),16.0,7.87,SF,"{'total_quantity': 16.0, 'total_rcv': 7.87, 'occurrences_detail': ['Line 4: Qty=16.0, RCV=$7.87']}",,,,,,,0,HVAC,square_feet,False,False,False
"R&R Fiber cement lap siding - 8""",16.0,115.96,SF,"{'total_quantity': 16.0, 'total_rcv': 115.96, 'occurrences_detail': ['Line 5: Qty=16.0, RCV=$115.96']}",,,,,,,0,SIDING,square_feet,False,False,False
Seal & paint wood siding,2315.72,5853.34,SF,"{'total_quantity': 2315.72, 'total_rcv': 5853.34, 'occurrences_detail': ['Line 6: Qty=2315.72, RCV=$5853.34']}",2315.72,5623.2,"{'total_quantity': 2315.72, 'total_rcv': 5623.2, 'occurrences_detail': ['Line 401: Qty=2315.72, RCV=$5623.20']}",0.0,230.14000000000033,3.931772287275305,100,FLOOR COVERING,square_feet,False,False,False
"R&R Siding trim - 1"" x 4"" fiber cement",18.0,158.16,LF,"{'total_quantity': 18.0, 'total_rcv': 158.16, 'occurrences_detail': ['Line 7: Qty=18.0, RCV=$158.16']}",,,,,,,0,SIDING,linear_feet,False,False,False
Seal & paint trim - two coats,54.0,102.67,LF,"{'total_quantity': 54.0, 'total_rcv': 102.67, 'occurrences_detail': ['Line 8: Qty=54.0, RCV=$102.67']}",54.0,99.86,"{'total_quantity': 54.0, 'total_rcv': 99.86, 'occurrences_detail': ['Line 402: Qty=54.0, RCV=$99.86']}",0.0,2.8100000000000023,2.7369241258400723,100,PAINTING,linear_feet,False,False,False
R&R Jamb and trim for overhead door,30.0,399.68,LF,"{'total_quantity': 30.0, 'total_rcv': 399.68, 'occurrences_detail': ['Line 9: Qty=30.0, RCV=$399.68']}",,,,,,,0,DOORS,linear_feet,False,False,False
Seal & paint double garage door,1.0,166.94,EA,"{'total_quantity': 1.0, 'total_rcv': 166.94, 'occurrences_detail': ['Line 10: Qty=1.0, RCV=$166.94']}",1.0,162.9,"{'total_quantity': 1.0, 'total_rcv': 162.9, 'occurrences_detail': ['Line 403: Qty=1.0, RCV=$162.90']}",0.0,4.039999999999992,2.4200311489157733,100,PAINTING,each,False,False,False
Mask or cover per square foot,370.96,239.57,SF,"{'total_quantity': 370.96, 'total_rcv': 239.57, 'occurrences_detail': ['Line 11: Qty=370.96, RCV=$239.57']}",,,,,,,0,UNCATEGORIZED,square_feet,False,False,False
R&R Metal lath & stucco,1050.0,16023.56,SF,"{'total_quantity': 1050.0, 'total_rcv': 16023.56, 'occurrences_detail': ['Line 12: Qty=260.0, RCV=$3967.75', 'Line 15: Qty=540.0, RCV=$8240.67', 'Line 25: Qty=250.0, RCV=$3815.14']}",,,,,,,0,STEEL COMPONENTS,square_feet,False,False,False
"R&R Sheathing - OSB - 1/2""",1050.0,3589.9700000000003,SF,"{'total_quantity': 1050.0, 'total_rcv': 3589.9700000000003, 'occurrences_detail': ['Line 13: Qty=260.0, RCV=$888.95', 'Line 16: Qty=540.0, RCV=$1846.27', 'Line 26: Qty=250.0, RCV=$854.75']}",,,,,,,0,HVAC,square_feet,False,False,False
"R&R Batt insulation - 4"" - R13 - paper",1050.0,1815.32,SF,"{'total_quantity': 1050.0, 'total_rcv': 1815.32, 'occurrences_detail': ['Line 14: Qty=260.0, RCV=$449.51', 'Line 17: Qty=540.0, RCV=$933.59', 'Line 27: Qty=250.0, RCV=$432.22']}",,,,,,,0,OFFICE SUPPLIES,square_feet,False,False,False
Flashing tape - self-adhesive,162.0,317.06,LF,"{'total_quantity': 162.0, 'total_rcv': 317.06, 'occurrences_detail': ['Line 18: Qty=140.0, RCV=$274.00', 'Line 28: Qty=22.0, RCV=$43.06']}",,,,,,,0,PAINTING,linear_feet,False,False,False
R&R Board-up windows and doors,149.0,581.24,SF,"{'total_quantity': 149.0, 'total_rcv': 581.24, 'occurrences_detail': ['Line 19: Qty=125.0, RCV=$487.62', 'Line 29: Qty=24.0, RCV=$93.62']}",,,,,,,0,WINDOWS,square_feet,False,False,False
Protection - cardboard and tape*,222.0,170.17,SF,"{'total_quantity': 222.0, 'total_rcv': 170.17, 'occurrences_detail': ['Line 20: Qty=125.0, RCV=$95.82', 'Line 24: Qty=60.0, RCV=$45.98', 'Line 30: Qty=21.0, RCV=$16.09', 'Line 34: Qty=16.0, RCV=$12.28']}",100.0,74.87,"{'total_quantity': 100.0, 'total_rcv': 74.87, 'occurrences_detail': ['Line 423: Qty=100.0, RCV=$74.87']}",122.0,95.29999999999998,56.00282070870306,91,PAINTING,square_feet,False,False,True
Sandblasting - Extra heavy,585.0,1579.8600000000001,SF,"{'total_quantity': 585.0, 'total_rcv': 1579.8600000000001, 'occurrences_detail': ['Line 21: Qty=360.0, RCV=$972.22', 'Line 31: Qty=225.0, RCV=$607.64']}",,,,,,,0,UNCATEGORIZED,square_feet,False,False,False
Stucco re-leveing base coat - skim,585.0,1064.15,SF,"{'total_quantity': 585.0, 'total_rcv': 1064.15, 'occurrences_detail': ['Line 22: Qty=360.0, RCV=$654.86', 'Line 32: Qty=225.0, RCV=$409.29']}",,,,,,,0,PLASTER,square_feet,False,False,False
Stucco color coat (Redash) - coarse,585.0,3324.2200000000003,SF,"{'total_quantity': 585.0, 'total_rcv': 3324.2200000000003, 'occurrences_detail': ['Line 23: Qty=360.0, RCV=$2045.67', 'Line 33: Qty=225.0, RCV=$1278.55']}",,,,,,,0,PLASTER,square_feet,False,False,False
"Mask wall - plastic, paper, tape (per LF)",837.9399999999999,1807.6399999999999,LF,"{'total_quantity': 837.9399999999999, 'total_rcv': 1807.6399999999999, 'occurrences_detail': ['Line 35: Qty=63.96, RCV=$137.98', 'Line 68: Qty=12.83, RCV=$27.68', 'Line 85: Qty=26.58, RCV=$57.35', 'Line 115: Qty=42.99, RCV=$92.74', 'Line 135: Qty=17.24, RCV=$37.19', 'Line 150: Qty=55.67, RCV=$120.08', 'Line 171: Qty=93.71, RCV=$202.16', 'Line 197: Qty=76.83, RCV=$165.74', 'Line 223: Qty=18.08, RCV=$39.00', 'Line 241: Qty=18.25, RCV=$39.37', 'Line 249: Qty=51.75, RCV=$111.63', 'Line 301: Qty=71.42, RCV=$154.07', 'Line 345: Qty=25.0, RCV=$53.94', 'Line 367: Qty=17.17, RCV=$37.05', 'Line 393: Qty=80.64, RCV=$173.94', 'Line 431: Qty=28.17, RCV=$60.78', 'Line 469: Qty=62.5, RCV=$134.82', 'Line 491: Qty=61.83, RCV=$133.37', 'Line 513: Qty=13.32, RCV=$28.75']}",,,,,,,0,OFFICE SUPPLIES,linear_feet,False,False,False
Install Window blind - horizontal or,5.0,280.97,EA,"{'total_quantity': 5.0, 'total_rcv': 280.97, 'occurrences_detail': ['Line 36: Qty=4.0, RCV=$224.78', 'Line 250: Qty=1.0, RCV=$56.19']}",,,,,,,0,WINDOWS,each,False,False,False
Rewire - average residence - copper,522.6,4682.97,SF,"{'total_quantity': 522.6, 'total_rcv': 4682.97, 'occurrences_detail': ['Line 37: Qty=212.83, RCV=$1907.14', 'Line 152: Qty=33.43, RCV=$299.58', 'Line 176: Qty=116.66, RCV=$1045.38', 'Line 291: Qty=159.68, RCV=$1430.87']}",,,,,,,0,ELECTRICAL,square_feet,False,False,False
R&R Switch - High grade,6.0,263.24,EA,"{'total_quantity': 6.0, 'total_rcv': 263.24, 'occurrences_detail': ['Line 38: Qty=3.0, RCV=$131.62', 'Line 292: Qty=3.0, RCV=$131.62']}",,,,,,,0,ELECTRICAL,each,False,False,False
R&R Outlet - High grade,25.0,1007.1899999999999,EA,"{'total_quantity': 25.0, 'total_rcv': 1007.1899999999999, 'occurrences_detail': ['Line 39: Qty=7.0, RCV=$282.01', 'Line 153: Qty=2.0, RCV=$80.57', 'Line 177: Qty=7.0, RCV=$282.01', 'Line 293: Qty=9.0, RCV=$362.60']}",,,,,,,0,ELECTRICAL,each,False,False,False
Ceiling fan & light,5.0,2517.16,EA,"{'total_quantity': 5.0, 'total_rcv': 2517.16, 'occurrences_detail': ['Line 40: Qty=5.0, RCV=$2517.16']}",1.0,495.73,"{'total_quantity': 1.0, 'total_rcv': 495.73, 'occurrences_detail': ['Line 99: Qty=1.0, RCV=$495.73']}",4.0,2021.4299999999998,80.30597975496194,100,PAINTING,each,False,False,True
Smoke detector - High grade,2.0,262.6,EA,"{'total_quantity': 2.0, 'total_rcv': 262.6, 'occurrences_detail': ['Line 41: Qty=1.0, RCV=$131.30', 'Line 297: Qty=1.0, RCV=$131.30']}",,,,,,,0,SMOKE & SAFETY DEVICES,each,False,False,False
Heat/AC register - Mechanically,7.0,203.55999999999997,EA,"{'total_quantity': 7.0, 'total_rcv': 203.55999999999997, 'occurrences_detail': ['Line 42: Qty=1.0, RCV=$28.81', 'Line 88: Qty=1.0, RCV=$32.73', 'Line 179: Qty=1.0, RCV=$28.81', 'Line 200: Qty=1.0, RCV=$18.94', 'Line 298: Qty=1.0, RCV=$28.81', 'Line 397: Qty=1.0, RCV=$32.73', 'Line 495: Qty=1.0, RCV=$32.73']}",1.0,17.05,"{'total_quantity': 1.0, 'total_rcv': 17.05, 'occurrences_detail': ['Line 279: Qty=1.0, RCV=$17.05']}",6.0,186.50999999999996,91.62409117704853,100,HVAC,each,False,False,True
"R&R Ductwork - hot or cold air - 4""",28.33,556.6700000000001,LF,"{'total_quantity': 28.33, 'total_rcv': 556.6700000000001, 'occurrences_detail': ['Line 43: Qty=8.0, RCV=$157.20', 'Line 299: Qty=20.33, RCV=$399.47']}",2.0,1100.46,"{'total_quantity': 2.0, 'total_rcv': 1100.46, 'occurrences_detail': ['Line 54: Qty=1.0, RCV=$550.23', 'Line 93: Qty=1.0, RCV=$550.23']}",26.33,-543.79,-97.68624139975208,89,HVAC,linear_feet,False,False,True
"R&R Batt insulation - 6"" - R19 -",372.51,741.5699999999999,SF,"{'total_quantity': 372.51, 'total_rcv': 741.5699999999999, 'occurrences_detail': ['Line 44: Qty=212.83, RCV=$423.69', 'Line 252: Qty=159.68, RCV=$317.88']}",,,,,,,0,INSULATION,square_feet,False,False,False
"5/8"" drywall - hung, taped, floated,",1843.46,7487.8,SF,"{'total_quantity': 1843.46, 'total_rcv': 7487.8, 'occurrences_detail': ['Line 45: Qty=367.69, RCV=$1493.48', 'Line 69: Qty=4.69, RCV=$19.05', 'Line 93: Qty=49.28, RCV=$200.17', 'Line 120: Qty=52.4, RCV=$212.82', 'Line 136: Qty=14.47, RCV=$58.78', 'Line 154: Qty=300.0, RCV=$1218.55', 'Line 181: Qty=273.34, RCV=$1110.27', 'Line 204: Qty=118.22, RCV=$480.20', 'Line 227: Qty=35.69, RCV=$144.96', 'Line 242: Qty=26.5, RCV=$107.64', 'Line 251: Qty=441.33, RCV=$1792.58', 'Line 406: Qty=120.22, RCV=$488.31', 'Line 435: Qty=39.63, RCV=$160.99']}",136.76,539.74,"{'total_quantity': 136.76, 'total_rcv': 539.74, 'occurrences_detail': ['Line 5: Qty=136.76, RCV=$539.74']}",1706.7,6948.06,92.79174123240472,100,PAINTING,square_feet,False,False,True
Tape joint for new to existing drywall -,486.83,6742.72,LF,"{'total_quantity': 486.83, 'total_rcv': 6742.72, 'occurrences_detail': ['Line 46: Qty=81.58, RCV=$1129.90', 'Line 70: Qty=2.33, RCV=$32.27', 'Line 94: Qty=24.25, RCV=$335.87', 'Line 121: Qty=25.5, RCV=$353.18', 'Line 137: Qty=12.17, RCV=$168.57', 'Line 182: Qty=98.0, RCV=$1357.31', 'Line 205: Qty=49.5, RCV=$685.60', 'Line 228: Qty=15.08, RCV=$208.87', 'Line 243: Qty=13.25, RCV=$183.51', 'Line 309: Qty=58.33, RCV=$807.89', 'Line 352: Qty=22.67, RCV=$313.97', 'Line 374: Qty=14.67, RCV=$203.20', 'Line 407: Qty=47.5, RCV=$657.88', 'Line 436: Qty=22.0, RCV=$304.70']}",223.91,3042.6499999999996,"{'total_quantity': 223.91, 'total_rcv': 3042.6499999999996, 'occurrences_detail': ['Line 6: Qty=42.0, RCV=$570.73', 'Line 25: Qty=98.0, RCV=$1331.69', 'Line 95: Qty=81.58, RCV=$1108.57', 'Line 119: Qty=2.33, RCV=$31.66']}",262.91999999999996,3700.0700000000006,54.87503559394429,100,PAINTING,linear_feet,False,False,True
Texture drywall - smooth / skim coat,3875.88,8749.94,SF,"{'total_quantity': 3875.88, 'total_rcv': 8749.94, 'occurrences_detail': ['Line 47: Qty=290.38, RCV=$655.54', 'Line 71: Qty=18.78, RCV=$42.39', 'Line 95: Qty=197.11, RCV=$444.98', 'Line 122: Qty=209.61, RCV=$473.21', 'Line 138: Qty=57.89, RCV=$130.70', 'Line 155: Qty=300.0, RCV=$677.26', 'Line 183: Qty=683.34, RCV=$1542.67', 'Line 206: Qty=472.89, RCV=$1067.55', 'Line 229: Qty=142.75, RCV=$322.25', 'Line 253: Qty=281.65, RCV=$635.85', 'Line 310: Qty=461.41, RCV=$1041.64', 'Line 375: Qty=120.67, RCV=$272.43', 'Line 408: Qty=480.87, RCV=$1085.57', 'Line 437: Qty=158.53, RCV=$357.90']}",3586.5800000000004,7912.92,"{'total_quantity': 3586.5800000000004, 'total_rcv': 7912.92, 'occurrences_detail': ['Line 7: Qty=145.0, RCV=$319.92', 'Line 26: Qty=676.93, RCV=$1493.48', 'Line 41: Qty=275.88, RCV=$608.67', 'Line 96: Qty=227.35, RCV=$501.60', 'Line 120: Qty=18.78, RCV=$41.44', 'Line 134: Qty=57.89, RCV=$127.71', 'Line 152: Qty=197.11, RCV=$434.87', 'Line 175: Qty=209.61, RCV=$462.46', 'Line 197: Qty=472.89, RCV=$1043.32', 'Line 234: Qty=158.53, RCV=$349.75', 'Line 256: Qty=231.77, RCV=$511.34', 'Line 284: Qty=475.57, RCV=$1049.22', 'Line 330: Qty=318.6, RCV=$702.91', 'Line 356: Qty=120.67, RCV=$266.23']}",289.2999999999997,837.0200000000004,9.566008452629395,100,PAINTING,square_feet,False,False,True
Seal the walls and ceiling w/PVA,4037.95,3130.9400000000005,SF,"{'total_quantity': 4037.95, 'total_rcv': 3130.9400000000005, 'occurrences_detail': ['Line 48: Qty=599.99, RCV=$465.22', 'Line 72: Qty=29.07, RCV=$22.54', 'Line 96: Qty=232.85, RCV=$180.53', 'Line 123: Qty=260.83, RCV=$202.23', 'Line 207: Qty=657.36, RCV=$509.69', 'Line 230: Qty=163.89, RCV=$127.08', 'Line 244: Qty=125.94, RCV=$97.65', 'Line 409: Qty=692.02, RCV=$536.59', 'Line 438: Qty=212.7, RCV=$164.92', 'Line 476: Qty=515.08, RCV=$399.40', 'Line 499: Qty=548.22, RCV=$425.09']}",,,,,,,0,PAINTING,square_feet,False,False,False
Paint the walls and ceiling - two coats,4037.95,6117.99,SF,"{'total_quantity': 4037.95, 'total_rcv': 6117.99, 'occurrences_detail': ['Line 49: Qty=599.99, RCV=$821.34', 'Line 73: Qty=29.07, RCV=$39.80', 'Line 97: Qty=232.85, RCV=$318.76', 'Line 124: Qty=260.83, RCV=$357.04', 'Line 208: Qty=657.36, RCV=$899.86', 'Line 231: Qty=163.89, RCV=$224.34', 'Line 245: Qty=125.94, RCV=$172.40', 'Line 410: Qty=692.02, RCV=$1154.93', 'Line 439: Qty=212.7, RCV=$354.97', 'Line 477: Qty=515.08, RCV=$859.61', 'Line 500: Qty=548.22, RCV=$914.94']}",,,,,,,0,PAINTING,square_feet,False,False,False
