description,doc1_quantity,doc1_cost,unit,doc2_quantity,doc2_cost,quantity_difference,cost_difference,match_confidence,category,standardized_unit,is_temporary,is_labor,duration_type,percentage_cost_difference,significant_difference,price_category
R&R Board-up windows and doors,615.46,3080.56,SF,,,,,0,WINDOWS,square_feet,False,False,,,False,High
Install Board-up windows and doors,512.88,1040.13,SF,,,,,0,WINDOWS,square_feet,False,False,,,False,High
Temporary fencing - 9+ months (per month),1080.0,777.6,LF,120.0,122.4,960.0,655.2,94,TEMPORARY ITEMS,linear_feet,True,False,per month,84.26,True,High
Residential Supervision / Project Management - per hour,240.0,23474.88,HR,240.0,26951.04,0.0,-3476.16,100,SUPERVISION & MANAGEMENT,hours,False,True,,-14.81,True,High
"Dumpster load - Approx. 20 yards, 4 tons of debris",1.0,1071.6,EA,2.0,3061.58,-1.0,-1989.98,94,DUMPSTER & DEBRIS,each,False,False,,-185.7,True,High
Gas/water line cap/plug - per cap,21.0,594.81,EA,,,,,0,PLUMBING,each,False,False,,,False,Medium-High
Plumbing/gas line air pressure test,2.0,681.48,EA,1.0,344.48,1.0,337.0,100,PLUMBING,each,False,False,,49.45,True,High
Plumbing/drain line water pressure test,1.0,809.24,EA,1.0,818.08,0.0,-8.840000000000032,100,PLUMBING,each,False,False,,-1.09,False,High
Scaffolding Setup & Take down - per hour,32.0,2492.92,HR,,,,,0,SCAFFOLDING,hours,False,True,,,False,High
Scaffold - per section (per month),30.0,4063.68,MO,94.5,12800.6,-64.5,-8736.92,100,SCAFFOLDING,months,False,False,per month,-215.0,True,High
Temporary hand washing station (per month),8.0,2323.58,MO,8.0,2323.58,0.0,0.0,100,CLEANING,months,True,False,per month,0.0,False,High
Temporary toilet (per month),8.0,2380.8,MO,8.0,2380.8,0.0,0.0,100,PLUMBING,months,True,False,per month,0.0,False,High
Temporary power usage (per month),8.0,2574.02,MO,8.0,2612.7,0.0,-38.679999999999836,100,TEMPORARY ITEMS,months,True,False,per month,-1.5,False,High
R&R Temporary power - hookup,1.0,565.03,EA,1.0,454.58,0.0,110.44999999999999,92,TEMPORARY ITEMS,each,True,False,,19.55,True,Medium-High
Job-site cargo/storage container - 16' long - per month,4.0,358.11,MO,,,,,0,CABINETRY,months,False,False,,,False,Medium-High
Final cleaning - construction - Residential,2100.76,1058.78,SF,2185.11,1127.52,-84.34999999999991,-68.74000000000001,100,CLEANING,square_feet,False,False,,-6.49,True,High
Building Permit - B23-1181 (Demo)*,1.0,306.39,EA,,,,,0,PERMITS & FEES,each,False,False,,,False,Medium-High
Building Permit - B23-2090*,1.0,5320.47,EA,,,,,0,PERMITS & FEES,each,False,False,,,False,High
Building Permit - B24-0511*,1.0,1991.51,EA,,,,,0,PERMITS & FEES,each,False,False,,,False,High
Engineering fees*,1.0,3186.84,EA,,,,,0,PERMITS & FEES,each,False,False,,,False,High
"Dumpster load - Approx. 40 yards, 7-8 tons of debris",2.0,3061.58,EA,2.0,3061.58,0.0,0.0,100,DUMPSTER & DEBRIS,each,False,False,,0.0,False,High
Hazardous Waste/Mold Cleaning- Supervisory/Admin- per hour,12.0,1739.52,HR,12.0,1774.8,0.0,-35.27999999999997,98,CLEANING,hours,False,True,,-2.03,False,High
Hazardous Waste/Mold Cleaning Technician - per hour,24.0,3135.74,HR,24.0,3182.4,0.0,-46.66000000000031,100,CLEANING,hours,False,True,,-1.49,False,High
Add for personal protective equipment - Heavy duty,60.0,3081.3,EA,,,,,0,TOOLS,each,False,False,,,False,High
Hydroxyl generator - odor counteractant - 3 optics,2.0,571.2,DA,2.0,571.2,0.0,0.0,100,CABINETRY,days,False,False,,0.0,False,Medium-High
"R&R Sheathing - plywood - 1/2"" CDX",64.0,379.0,SF,64.0,366.59,0.0,12.410000000000025,100,FLOOR COVERING,square_feet,False,False,,3.27,False,Medium-High
Roofing felt - 30 lb.,1.0,72.49,SQ,0.64,46.89,0.36,25.599999999999994,100,ROOFING,square,False,False,,35.32,True,Low
Tile roofing - Detach & reset,1.5,2293.21,SQ,,,,,0,FLOOR COVERING,square,False,False,,,False,High
Bird stop - Eave closure strip for tile roofing - clay,8.0,60.11,LF,,,,,0,FLOOR COVERING,linear_feet,False,False,,,False,Low
Clean air conditioning condenser unit,1.0,129.0,EA,,,,,0,CLEANING,each,False,False,,,False,Medium-Low
Digital satellite system - Detach & reset,1.0,72.25,EA,,,,,0,HVAC,each,False,False,,,False,Low
Clean fascia,310.26,420.71,LF,,,,,0,ROOFING,linear_feet,False,False,,,False,Medium-High
Clean soffit - wood,357.71,262.19,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Medium-High
Clean with pressure/chemical spray,2813.8,1724.78,SF,,,,,0,CLEANING,square_feet,False,False,,,False,High
"R&R Siding - hardboard - lap pattern - 8""",928.8,7281.15,SF,,,,,0,SIDING,square_feet,False,False,,,False,High
R&R House wrap (air/moisture barrier),928.8,584.72,SF,622.5,394.08,306.29999999999995,190.64000000000004,100,HVAC,square_feet,False,False,,32.6,True,Medium-High
Prime & paint gutter / downspout,79.25,228.58,LF,35.0,101.99,44.25,126.59000000000002,100,PAINTING,linear_feet,False,False,,55.38,True,Medium-High
"Prime & paint exterior fascia - wood, 6""- 8"" wide",310.26,1168.87,LF,260.0,990.1,50.25999999999999,178.76999999999987,100,FLOOR COVERING,linear_feet,False,False,,15.29,True,High
Prime & paint exterior soffit - exposed rafters,321.18,1780.49,SF,465.39,2611.16,-144.20999999999998,-830.6699999999998,100,PAINTING,square_feet,False,False,,-46.65,True,High
Prime & paint exterior soffit - wood,36.53,145.31,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Medium-Low
Seal & paint wood siding,928.8,3007.01,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,High
Paint wood siding - 1 coat,1885.0,4002.04,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,High
"R&R 2"" x 4"" lumber - redwood (.667 BF per LF)",439.17,3750.82,LF,129.0,1118.39,310.17,2632.4300000000003,100,FLOOR COVERING,linear_feet,False,False,,70.18,True,High
Seal & paint door or window opening (per side),23.0,1288.15,EA,17.0,966.15,6.0,322.0000000000001,100,OFFICE SUPPLIES,each,False,False,per side,25.0,True,High
Seal & paint door or window opening - Large (per side),1.0,69.91,EA,17.0,966.15,-16.0,-896.24,92,OFFICE SUPPLIES,each,False,False,per side,-1281.99,True,Low
Clean overhead door & hardware - Large,1.0,118.35,EA,,,,,0,CLEANING,each,False,False,,,False,Medium-Low
Paint overhead door - Large - 2 coats (per side),1.0,310.83,EA,1.0,218.28,0.0,92.54999999999998,91,PAINTING,each,False,False,per side,29.78,True,Medium-High
Paint/finish - fence post - wood,7.0,230.69,EA,,,,,0,FLOOR COVERING,each,False,False,,,False,Medium-High
Wire - average residence - copper wiring,1822.0,18609.82,SF,,,,,0,ELECTRICAL,square_feet,False,False,,,False,High
Ductwork system - hot or cold air - 1600 to 2199 SF home,1.0,9663.67,EA,1.0,10776.51,0.0,-1112.8400000000001,97,HVAC,each,False,False,,-11.52,True,High
"Batt insulation - 4"" - R15 - paper / foil faced",1532.27,2670.39,SF,2970.0,4284.47,-1437.73,-1614.0800000000004,98,OFFICE SUPPLIES,square_feet,False,False,,-60.44,True,High
"Batt insulation - 10"" - R30 - unfaced batt",347.67,814.54,SF,917.0,1446.05,-569.3299999999999,-631.51,92,HVAC,square_feet,False,False,,-77.53,True,High
Final cleaning - construction - Residential,1310.87,660.69,SF,2185.11,1127.52,-874.2400000000002,-466.8299999999999,100,CLEANING,square_feet,False,False,,-70.66,True,High
Demolish/remove - bedroom/room (over 200 sf),323.27,2630.13,SF,,,,,0,FURNITURE,square_feet,False,False,,,False,High
HEPA Vacuuming - Detailed - (PER SF),347.67,567.39,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Medium-High
Seal floor or ceiling joist system (shellac),347.67,857.66,SF,841.0,2102.06,-493.33,-1244.4,100,FLOOR COVERING,square_feet,False,False,,-145.09,True,High
Additional cost for high ceiling*,347.67,54.24,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Low
HEPA Vacuuming exposed framing - Walls - (PER SF),730.79,1140.03,SF,3500.0,5586.0,-2769.21,-4445.97,100,PAINTING,square_feet,False,False,,-389.99,True,High
Seal stud wall for odor control (shellac),730.79,1342.51,SF,3500.0,6497.62,-2769.21,-5155.11,100,PAINTING,square_feet,False,False,,-383.99,True,High
Additional cost for high wall*,336.91,52.56,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Low
Clean floor or roof joist system,323.27,601.92,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Medium-High
Seal floor or ceiling joist system (shellac),323.27,797.48,SF,841.0,2102.06,-517.73,-1304.58,100,FLOOR COVERING,square_feet,False,False,,-163.59,True,High
Deodorize building - Ozone & hydroxyl treatment,5355.43,385.59,CF,30.33,1.82,5325.1,383.77,87,CLEANING,cubic_feet,False,False,,99.53,True,Medium-High
"5/8"" drywall - hung, taped, heavy texture, ready for paint",347.67,1959.0,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Additional cost for high ceiling*,347.67,504.82,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
Seal/prime (1 coat) then paint (1 coat) the ceiling*,347.67,588.06,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
Additional cost for high ceiling*,347.67,54.24,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Low
"1/2"" drywall - hung, taped, heavy texture, ready for paint",730.79,3972.46,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Additional cost for high wall*,336.91,489.2,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
Add for bullnose (rounded) corners - per LF,196.97,1357.6,LF,,,,,0,BULLNOSE,linear_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the walls*,730.79,1236.06,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Additional cost for high wall*,336.91,52.56,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Low
Carpet pad,303.27,269.83,SF,1567.0,1409.78,-1263.73,-1139.95,100,FLOOR COVERING,square_feet,False,False,,-422.47,True,Medium-High
Carpet,348.76,2049.59,SF,1802.05,10727.48,-1453.29,-8677.89,100,FLOOR COVERING,square_feet,False,False,,-423.4,True,High
Tile floor covering,20.0,465.84,SF,261.0,6144.38,-241.0,-5678.54,100,FLOOR COVERING,square_feet,False,False,,-1218.99,True,Medium-High
Tile/stone sealer,20.0,41.44,SF,41.58,86.92,-21.58,-45.480000000000004,100,FLOOR COVERING,square_feet,False,False,,-109.75,True,Low
R&R Exterior door - metal - insulated - flush or panel style,1.0,719.59,EA,,,,,0,SIDING,each,False,False,,,False,High
Prime & paint door slab only - exterior (per side),2.0,158.91,EA,,,,,0,PAINTING,each,False,False,per side,,False,Medium-Low
Seal & paint door opening (per side)*,1.0,56.01,EA,17.0,966.15,-16.0,-910.14,87,OFFICE SUPPLIES,each,False,False,per side,-1624.96,True,Low
Door lockset & deadbolt - exterior,1.0,122.51,EA,,,,,0,SIDING,each,False,False,,,False,Medium-Low
"Aluminum window, picture/fixed 3-11 sf (2 pane)",1.0,254.66,EA,1.0,303.13,0.0,-48.47,96,SIDING,each,False,False,,-19.03,True,Medium-High
"Aluminum window, picture/fixed 24-32 sf (2 pane)",1.0,547.69,EA,2.0,968.02,-1.0,-420.3299999999999,92,SIDING,each,False,False,,-76.75,True,Medium-High
"Aluminum window, horiz. slider 33-40 sf (2 pane)",1.0,834.09,EA,1.0,916.54,0.0,-82.44999999999993,96,SIDING,each,False,False,,-9.89,True,High
"Aluminum window, picture/fixed 12-23 sf (2 pane)",5.0,2164.41,EA,2.0,968.02,3.0,1196.3899999999999,96,SIDING,each,False,False,,55.28,True,High
"Aluminum window, horiz. slider 12-23 sf (2 pane)",3.0,1516.66,EA,1.0,513.07,2.0,1003.59,100,SIDING,each,False,False,,66.17,True,High
Add on for grid (double or triple glazed windows),188.5,1019.91,SF,328.0,1801.36,-139.5,-781.4499999999999,100,WINDOWS,square_feet,False,False,,-76.62,True,High
Window stool & apron,24.0,331.56,LF,103.5,1455.35,-79.5,-1123.79,100,TOOLS,linear_feet,False,False,,-338.94,True,Medium-High
Seal & paint window stool and apron,24.0,170.97,LF,103.5,745.68,-79.5,-574.7099999999999,100,PAINTING,linear_feet,False,False,,-336.15,True,Medium-Low
"Baseboard - 2 1/4""",71.96,379.94,LF,587.0,3758.84,-515.04,-3378.9,94,FINISH CARPENTRY,linear_feet,False,False,,-889.32,True,Medium-High
Seal (1 coat) & paint (1 coat) baseboard*,71.96,192.69,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Medium-Low
Chandelier,2.0,812.68,EA,1.0,412.08,1.0,400.59999999999997,100,LIGHTING & ELECTRICAL,each,False,False,,49.29,True,High
Ceiling fan without light,1.0,405.14,EA,1.0,410.78,0.0,-5.639999999999986,100,PAINTING,each,False,False,,-1.39,False,Medium-High
"Add on - Ceiling fan down rod - 37""-72""",1.0,117.09,EA,,,,,0,PAINTING,each,False,False,,,False,Medium-Low
Window blind - single cell - 7.1 to 14 SF,6.0,1028.55,EA,,,,,0,WINDOWS,each,False,False,,,False,High
"Window blind - PVC - 2"" - 14.1 to 20 SF",5.0,865.16,EA,5.0,877.94,0.0,-12.780000000000086,100,WINDOWS,each,False,False,,-1.48,False,High
Demolish/remove - kitchen/laundry,143.52,2819.3,SF,,,,,0,CABINETRY,square_feet,False,False,,,False,High
HEPA Vacuuming - Detailed - (PER SF),143.52,234.23,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Medium-High
Seal floor or ceiling joist system (shellac),143.52,354.05,SF,841.0,2102.06,-697.48,-1748.01,100,FLOOR COVERING,square_feet,False,False,,-493.72,True,Medium-High
HEPA Vacuuming exposed framing - Walls - (PER SF),291.29,454.42,SF,3500.0,5586.0,-3208.71,-5131.58,100,PAINTING,square_feet,False,False,,-1129.26,True,Medium-High
Seal stud wall for odor control (shellac),291.29,535.11,SF,3500.0,6497.62,-3208.71,-5962.51,100,PAINTING,square_feet,False,False,,-1114.26,True,Medium-High
Clean floor or roof joist system,143.52,267.24,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Medium-High
Seal floor or ceiling joist system (shellac),143.52,354.05,SF,841.0,2102.06,-697.48,-1748.01,100,FLOOR COVERING,square_feet,False,False,,-493.72,True,Medium-High
Deodorize building - Ozone & hydroxyl treatment,1291.64,93.0,CF,30.33,1.82,1261.3100000000002,91.18,87,CLEANING,cubic_feet,False,False,,98.04,True,Medium-Low
"5/8"" drywall - hung, taped, heavy texture, ready for paint",143.52,808.69,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the ceiling*,143.52,242.75,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
"1/2"" drywall - hung, taped, heavy texture, ready for paint",291.29,1583.41,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Add for bullnose (rounded) corners - per LF,39.0,268.8,LF,,,,,0,BULLNOSE,linear_feet,False,False,,,False,Medium-High
Seal/prime (1 coat) then paint (1 coat) the walls*,291.29,492.69,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
Tile floor covering,112.75,2626.18,SF,261.0,6144.38,-148.25,-3518.2000000000003,100,FLOOR COVERING,square_feet,False,False,,-133.97,True,High
Tile/stone sealer,112.75,233.65,SF,41.58,86.92,71.17,146.73000000000002,100,FLOOR COVERING,square_feet,False,False,,62.8,True,Medium-High
"Aluminum window, horiz. slider 12-23 sf (2 pane)",1.0,505.55,EA,1.0,513.07,0.0,-7.520000000000039,100,SIDING,each,False,False,,-1.49,False,Medium-High
"Aluminum window, horiz. slider 24-32 sf (2 pane)",1.0,623.14,EA,2.0,1404.83,-1.0,-781.6899999999999,96,SIDING,each,False,False,,-125.44,True,High
Add on for grid (double or triple glazed windows),47.0,254.3,SF,328.0,1801.36,-281.0,-1547.06,100,WINDOWS,square_feet,False,False,,-608.36,True,Medium-High
Window stool & apron,11.0,151.97,LF,103.5,1455.35,-92.5,-1303.3799999999999,100,TOOLS,linear_feet,False,False,,-857.66,True,Medium-Low
Seal & paint window stool and apron,11.0,78.36,LF,103.5,745.68,-92.5,-667.3199999999999,100,PAINTING,linear_feet,False,False,,-851.61,True,Low
"Baseboard - 2 1/4""",16.54,87.32,LF,587.0,3758.84,-570.46,-3671.52,94,FINISH CARPENTRY,linear_feet,False,False,,-4204.67,True,Medium-Low
Seal (1 coat) & paint (1 coat) baseboard*,16.54,44.29,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Low
Cabinetry - full height unit - High grade,3.0,1798.09,LF,3.0,1824.95,0.0,-26.860000000000127,100,CABINETRY,linear_feet,False,False,,-1.49,False,High
Cabinetry - upper (wall) units - High grade,5.5,1665.89,LF,16.5,5072.05,-11.0,-3406.16,100,PAINTING,linear_feet,False,False,,-204.46,True,High
Cabinetry - upper (wall) units - High grade,10.75,3256.04,LF,16.5,5072.05,-5.75,-1816.0100000000002,100,PAINTING,linear_feet,False,False,,-55.77,True,High
Add for prefinished crown molding per LF,18.25,294.0,LF,15.0,245.35,3.25,48.650000000000006,100,PAINTING,linear_feet,False,False,,16.55,True,Medium-High
Cabinetry - lower (base) units - High grade,13.0,7248.31,LF,15.5,8771.41,-2.5,-1523.0999999999995,100,CABINETRY,linear_feet,False,False,,-21.01,True,High
Wood appliance panel - High grade,30.0,1901.91,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,High
Countertop subdeck - plywood,30.0,253.19,SF,32.0,199.49,-2.0,53.69999999999999,100,FLOOR COVERING,square_feet,False,False,,21.21,True,Medium-High
Countertop - Tile,43.0,2443.06,SF,9.58,549.96,33.42,1893.1,100,FLOOR COVERING,square_feet,False,False,,77.49,True,High
Mortar bed for tile,33.0,531.6,SF,41.58,678.33,-8.579999999999998,-146.73000000000002,100,FLOOR COVERING,square_feet,False,False,,-27.6,True,Medium-High
Add-on for tile backsplash installation,10.0,396.36,SF,20.0,800.4,-10.0,-404.03999999999996,100,FLOOR COVERING,square_feet,False,False,,-101.94,True,Medium-High
Seal grout on tile wall,10.0,36.88,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Low
Tile/stone sealer,33.0,68.38,SF,41.58,86.92,-8.579999999999998,-18.540000000000006,100,FLOOR COVERING,square_feet,False,False,,-27.11,True,Low
Sink - double basin,1.0,590.5,EA,,,,,0,OFFICE SUPPLIES,each,False,False,,,False,Medium-High
Sink strainer and drain assembly,2.0,170.53,EA,1.0,86.3,1.0,84.23,100,OFFICE SUPPLIES,each,False,False,,49.39,True,Medium-Low
Sink faucet - Kitchen - High grade,1.0,549.67,EA,1.0,722.18,0.0,-172.51,87,OFFICE SUPPLIES,each,False,False,,-31.38,True,Medium-High
Angle stop valve,2.0,126.54,EA,2.0,128.02,0.0,-1.480000000000004,100,PLUMBING,each,False,False,,-1.17,False,Medium-Low
Water filtration system - under sink,1.0,388.29,EA,,,,,0,OFFICE SUPPLIES,each,False,False,,,False,Medium-High
Refrigerator/icemaker water supply box with valve,1.0,269.46,EA,1.0,272.86,0.0,-3.400000000000034,100,PLUMBING,each,False,False,,-1.26,False,Medium-High
"Flexible gas supply line connector - 1/2"" - up to 24""",1.0,50.94,EA,1.0,51.31,0.0,-0.37000000000000455,100,GAS SUPPLY,each,False,False,,-0.73,False,Low
"Ball valve - brass - up to 1/2""",1.0,80.33,EA,1.0,81.28,0.0,-0.9500000000000028,100,PLUMBING,each,False,False,,-1.18,False,Low
Remove Refrigerator - side by side - 25 to 30 cf,1.0,73.18,EA,,,,,0,UNCATEGORIZED,each,False,False,,,False,Low
Install Refrigerator - side by side - 25 to 30 cf,1.0,67.76,EA,,,,,0,UNCATEGORIZED,each,False,False,,,False,Low
"Appliance water line - 1/4""",1.0,137.2,EA,1.0,138.9,0.0,-1.700000000000017,100,PLUMBING,each,False,False,,-1.24,False,Medium-Low
R&R Microwave oven - over range w/built-in hood,1.0,674.3,EA,1.0,624.66,0.0,49.639999999999986,96,APPLIANCES,each,False,False,,7.36,True,High
"Ductwork - hot or cold air - 4"" round",12.0,287.01,LF,,,,,0,HVAC,linear_feet,False,False,,,False,Medium-High
R&R Range - freestanding - gas,1.0,1635.92,EA,,,,,0,APPLIANCES,each,False,False,,,False,High
Garbage disposer,1.0,403.91,EA,1.0,409.08,0.0,-5.169999999999959,100,DUMPSTER & DEBRIS,each,False,False,,-1.28,False,Medium-High
R&R Dishwasher,1.0,978.36,EA,,,,,0,CLEANING,each,False,False,,,False,High
Dishwasher supply line - material only,1.0,25.45,EA,1.0,25.83,0.0,-0.379999999999999,100,CLEANING,each,False,False,,-1.49,False,Low
Flush mount wood-framed acrylic lens light fixture*,24.0,1181.24,EA,,,,,0,FLOOR COVERING,each,False,False,,,False,High
Chandelier,1.0,406.35,EA,1.0,412.08,0.0,-5.729999999999961,100,LIGHTING & ELECTRICAL,each,False,False,,-1.41,False,Medium-High
Light fixture,1.0,114.56,EA,1.0,116.17,0.0,-1.6099999999999994,100,ELECTRICAL,each,False,False,,-1.41,False,Medium-Low
"Window blind - PVC - 2"" - 14.1 to 20 SF",1.0,173.04,EA,5.0,877.94,-4.0,-704.9000000000001,100,WINDOWS,each,False,False,,-407.36,True,Medium-Low
"Window blind - PVC - 2"" - 20.1 to 32 SF",1.0,228.15,EA,1.0,231.54,0.0,-3.3899999999999864,100,WINDOWS,each,False,False,,-1.49,False,Medium-High
Demolish/remove - bedroom/room (over 200 sf),244.42,1988.61,SF,,,,,0,FURNITURE,square_feet,False,False,,,False,High
HEPA Vacuuming - Detailed - (PER SF),244.42,398.89,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Medium-High
Seal floor or ceiling joist system (shellac),244.42,602.96,SF,841.0,2102.06,-596.58,-1499.1,100,FLOOR COVERING,square_feet,False,False,,-248.62,True,Medium-High
Soda blasting exposed framing - Walls (PER SF),180.0,854.46,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
HEPA Vacuuming exposed framing - Walls - (PER SF),344.91,538.06,SF,3500.0,5586.0,-3155.09,-5047.9400000000005,100,PAINTING,square_feet,False,False,,-938.17,True,Medium-High
Seal stud wall for odor control (shellac),344.91,633.63,SF,3500.0,6497.62,-3155.09,-5863.99,100,PAINTING,square_feet,False,False,,-925.46,True,High
Clean floor or roof joist system,244.42,455.11,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Medium-High
Seal floor or ceiling joist system (shellac),244.42,602.96,SF,841.0,2102.06,-596.58,-1499.1,100,FLOOR COVERING,square_feet,False,False,,-248.62,True,Medium-High
Deodorize building - Ozone & hydroxyl treatment,2199.74,158.38,CF,30.33,1.82,2169.41,156.56,87,CLEANING,cubic_feet,False,False,,98.85,True,Medium-Low
"Floor trusses - up to 16"" deep",24.0,415.9,LF,24.0,422.0,0.0,-6.100000000000023,100,FLOOR COVERING,linear_feet,False,False,,-1.47,False,Medium-High
Carpenter - General Framer - per hour,4.0,551.04,HR,,,,,0,OFFICE SUPPLIES,hours,False,True,,,False,Medium-High
"R&R Sheathing - plywood - 1/2"" CDX",32.0,159.92,SF,64.0,366.59,-32.0,-206.67,100,FLOOR COVERING,square_feet,False,False,,-129.23,True,Medium-Low
"5/8"" drywall - hung, taped, heavy texture, ready for paint",244.42,1377.22,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the ceiling*,244.42,413.4,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
"1/2"" drywall - hung, taped, heavy texture, ready for paint",344.91,1874.88,SF,,,,,0,PAINTING,square_feet,False,False,,,False,High
Add for bullnose (rounded) corners - per LF,99.43,685.32,LF,,,,,0,BULLNOSE,linear_feet,False,False,,,False,High
Seal/prime (1 coat) then paint (1 coat) the walls*,344.91,583.37,SF,,,,,0,PAINTING,square_feet,False,False,,,False,Medium-High
Carpet pad,244.42,217.46,SF,1567.0,1409.78,-1322.58,-1192.32,100,FLOOR COVERING,square_feet,False,False,,-548.29,True,Medium-Low
Carpet,281.08,1651.84,SF,1802.05,10727.48,-1520.97,-9075.64,100,FLOOR COVERING,square_feet,False,False,,-549.43,True,High
R&R 6-0 8-0 alum. sliding patio door - anodized - High grade,1.0,2373.94,EA,1.0,2112.78,0.0,261.15999999999985,88,CONCRETE & ASPHALT,each,False,False,,11.0,True,High
"Aluminum window, single hung 9-12 sf (2 pane)",1.0,378.85,EA,,,,,0,SIDING,each,False,False,,,False,Medium-High
"Aluminum window, horiz. slider 24-32 sf (2 pane)",1.0,623.14,EA,2.0,1404.83,-1.0,-781.6899999999999,96,SIDING,each,False,False,,-125.44,True,High
Add on for grid (double or triple glazed windows),92.0,497.76,SF,328.0,1801.36,-236.0,-1303.6,100,WINDOWS,square_feet,False,False,,-261.89,True,Medium-High
Window stool & apron,8.0,110.52,LF,103.5,1455.35,-95.5,-1344.83,100,TOOLS,linear_feet,False,False,,-1216.82,True,Medium-Low
Seal & paint window stool and apron,8.0,56.99,LF,103.5,745.68,-95.5,-688.6899999999999,100,PAINTING,linear_feet,False,False,,-1208.44,True,Low
"Baseboard - 2 1/4""",38.72,204.44,LF,587.0,3758.84,-548.28,-3554.4,94,FINISH CARPENTRY,linear_feet,False,False,,-1738.6,True,Medium-Low
Seal (1 coat) & paint (1 coat) baseboard*,38.72,103.69,LF,,,,,0,PAINTING,linear_feet,False,False,,,False,Medium-Low
"R&R Fireplace, zero clnce, gas burning, w/ venting",1.0,4621.75,EA,,,,,0,ROOFING,each,False,False,,,False,High
R&R Fireplace mantel - wood beam or shelf only (per LF),5.0,756.71,LF,,,,,0,FLOOR COVERING,linear_feet,False,False,per LF,,False,High
Stain & finish wood fireplace mantel,5.0,71.21,LF,,,,,0,FLOOR COVERING,linear_feet,False,False,,,False,Low
Fireplace hearth - tile,20.0,786.87,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,High
Ceiling fan & light,1.0,556.01,EA,1.0,563.76,0.0,-7.75,100,PAINTING,each,False,False,,-1.39,False,Medium-High
Window drapery - hardware - single rod - Large,1.0,130.04,EA,,,,,0,WINDOWS,each,False,False,,,False,Medium-Low
"Window blind - PVC - 2"" - 7.1 to 14 SF",1.0,136.28,EA,6.0,829.68,-5.0,-693.4,100,WINDOWS,each,False,False,,-508.81,True,Medium-Low
"Window blind - PVC - 2"" - 20.1 to 32 SF",1.0,228.15,EA,1.0,231.54,0.0,-3.3899999999999864,100,WINDOWS,each,False,False,,-1.49,False,Medium-High
Demolish/remove - bedroom/room (up to 200 sf),5.04,47.41,SF,,,,,0,FURNITURE,square_feet,False,False,,,False,Low
HEPA Vacuuming - Detailed - (PER SF),5.04,8.23,SF,,,,,0,CLEANING,square_feet,False,False,,,False,Low
Seal floor or ceiling joist system (shellac),5.04,12.44,SF,841.0,2102.06,-835.96,-2089.62,100,FLOOR COVERING,square_feet,False,False,,-16797.59,True,Low
HEPA Vacuuming exposed framing - Walls - (PER SF),46.29,72.22,SF,3500.0,5586.0,-3453.71,-5513.78,100,PAINTING,square_feet,False,False,,-7634.7,True,Low
Seal stud wall for odor control (shellac),46.29,85.04,SF,3500.0,6497.62,-3453.71,-6412.58,100,PAINTING,square_feet,False,False,,-7540.66,True,Low
Clean floor or roof joist system,5.04,9.38,SF,,,,,0,FLOOR COVERING,square_feet,False,False,,,False,Low
Seal floor or ceiling joist system (shellac),5.04,12.44,SF,841.0,2102.06,-835.96,-2089.62,100,FLOOR COVERING,square_feet,False,False,,-16797.59,True,Low
Deodorize building - Ozone & hydroxyl treatment,35.29,2.54,CF,30.33,1.82,4.960000000000001,0.72,87,CLEANING,cubic_feet,False,False,,28.35,True,Low
